Event Name,Athlete Name,Team,Mark,Event Type
800,"Ncube, Nontokozo",Cloud County CC (F),2:15.14,Individual
1000,"Anchike, N Vanee",Cloud County CC (F),2:55.48,Individual
Mile,"Anchike, N Vanee",Cloud County CC (F),4:52.73,Individual
3000,"Anchike, N Vanee",Cloud County CC (F),10:28.54,Individual
5000,"Anchike, N Vanee",Cloud County CC (F),17:21.61,Individual
60H,"Davis, Chenessa",Cloud County CC (F),8.81,Individual
4x400,"Chidinma Nwachukwu, Mercy Angaamchaab, Nontokozo Ncube, Rafiatu Nuhu",Cloud County CC (F),3:50.05,Relay
4x800,"Mercy Angaamchaab, Nontokozo Ncube, Ozia Trujillo, N Vanee Anchike",Cloud County CC (F),9:09.97,Relay
DMR,"Mercy Angaamchaab, Rafiatu Nuhu, Nontokozo Ncube, N Vanee Anchike",Cloud County CC (F),11:47.46,Relay
HJ,"Henry, Shackala",Cloud County CC (F),1.71m,Individual
PV,"Sakaguchi, Jasmine",Cloud County CC (F),3.66m,Individual
LJ,"Davis, Chenessa",Cloud County CC (F),5.46m,Individual
TJ,"Henry, Shackala",Cloud County CC (F),11.82m,Individual
SP,"Locke-Garcia, Adrienne",Cloud County CC (F),13.21m,Individual
WT,"Locke-Garcia, Adrienne",Cloud County CC (F),15.73m,Individual
Pent,"Williams, Cordaelia",Cloud County CC (F),2957,Individual
60,"Alfred, Dillon",Coffeyville CC (M),6.79,Individual
200,"Crawford, Johnathan",Coffeyville CC (M),21.32,Individual
400,"Crawford, Johnathan",Coffeyville CC (M),47.48,Individual
600,"Conder, Isaac",Coffeyville CC (M),1:22.65(600),Individual
600y,"Conder, Isaac",Coffeyville CC (M),1:13.79,Individual
800,"Conder, Isaac",Coffeyville CC (M),1:53.45,Individual
1000,"Conder, Isaac",Coffeyville CC (M),2:37.84,Individual
Mile,"Alvarez, Bryan",Coffeyville CC (M),4:39.27,Individual
3000,"Alvarez, Bryan",Coffeyville CC (M),9:30.35,Individual
5000,"Alvarez, Bryan",Coffeyville CC (M),17:53.74,Individual
60H,"Moses, Kerdel",Coffeyville CC (M),8.29,Individual
4x400,"Kason Jones, Travian Johnson, Johnathan Crawford, Elijah Rowe",Coffeyville CC (M),3:12.59,Relay
4x800,"Isaac Conder, Johnny Hart, Jai Harden, John Wickham",Coffeyville CC (M),7:57.78,Relay
DMR,"Johnny Hart, Gemari Wyre, Jai Harden, Bryan Alvarez",Coffeyville CC (M),11:15.25,Relay
HJ,"Burke, Jaylon",Coffeyville CC (M),1.79m,Individual
PV,"Goode, Wyatt",Coffeyville CC (M),3.14m,Individual
LJ,"Rowe, Elijah",Coffeyville CC (M),7.43m,Individual
TJ,"Fuqua, Anthony",Coffeyville CC (M),14.83m,Individual
SP,"Gunzell, Trevor",Coffeyville CC (M),18.59m,Individual
WT,"Wilson, Reginald (RJ)",Coffeyville CC (M),17.83m,Individual
Hep,"Goode, Wyatt",Coffeyville CC (M),3757,Individual
60,"Bunn, Jalia",Coffeyville CC (F),7.69,Individual
200,"Bunn, Jalia",Coffeyville CC (F),24.68,Individual
400,"Blake, Dhakiya",Coffeyville CC (F),59.23,Individual
600,"Millner, Faith",Coffeyville CC (F),1:40.32,Individual
600y,"Millner, Faith",Coffeyville CC (F),1:30.32,Individual
60H,"Gedeon, Linya",Coffeyville CC (F),8.99,Individual
4x400,"Linya Gedeon, Jalia Bunn, Dhakiya Blake, Royanah Farmer",Coffeyville CC (F),3:59.39,Relay
4x800,"Deyunsha (De Westbrook, Faith Millner, Mariah Gooden, Amalinally Pemberton",Coffeyville CC (F),12:16.74,Relay
HJ,"Gooden, Mariah",Coffeyville CC (F),1.32m,Individual
LJ,"Whitelow, Teonia",Coffeyville CC (F),4.86m,Individual
SP,"Porter, Chaunte",Coffeyville CC (F),11.65m,Individual
WT,"Manousaridis, Ana",Coffeyville CC (F),15.00m,Individual
60,"Flowers, Jamal",Colby CC (M),6.90,Individual
200,"Flowers, Jamal",Colby CC (M),21.76,Individual
400,"Plakaris, Jaydin",Colby CC (M),49.35,Individual
600,"Strachan, Brendnado",Colby CC (M),1:27.18,Individual
800,"de Waal, Cayde",Colby CC (M),1:56.11,Individual
1000,"de Waal, Cayde",Colby CC (M),2:29.63,Individual
Mile,"de Waal, Cayde",Colby CC (M),4:14.34,Individual
3000,"Monyebodi, Kgadi",Colby CC (M),8:12.28,Individual
5000,"Monyebodi, Kgadi",Colby CC (M),14:04.32,Individual
60H,"Jones, Armonie",Colby CC (M),8.71,Individual
4x400,"Jayden McGregor, Jamal Flowers, Thomas Grant, Jaydin Plakaris",Colby CC (M),3:19.80,Relay
HJ,"Mastin, Tod",Colby CC (M),1.66m,Individual
PV,"Mastin, Tod",Colby CC (M),2.18m,Individual
LJ,"Browne, Tremaine",Colby CC (M),7.40m,Individual
TJ,"Browne, Tremaine",Colby CC (M),15.01m,Individual
SP,"Mastin, Tod",Colby CC (M),8.46m,Individual
Hep,"Mastin, Tod",Colby CC (M),3079,Individual
60,"Afrifa, Anita",Colby CC (F),7.56,Individual
200,"Afrifa, Anita",Colby CC (F),23.75,Individual
400,"Tharp, Ashley",Colby CC (F),1:04.07,Individual
800,"Bert, Tara",Colby CC (F),2:18.03,Individual
1000,"Bert, Tara",Colby CC (F),2:57.41,Individual
Mile,"Arthur, Rosemary",Colby CC (F),4:59.27,Individual
3000,"Arthur, Rosemary",Colby CC (F),10:09.27,Individual
5000,"Tuxpan Hernandez, Elizabeth",Colby CC (F),18:07.04,Individual
4x400,,Colby CC (F),4:11.32,Relay
DMR,"Tara Bert, Maissane Jouen, Ann Badawi, Rosemary Arthur",Colby CC (F),12:05.91,Relay
SP,"Hylton, Holly",Colby CC (F),9.26m,Individual
60,"Williams, D'Quan",Garden City CC (M),6.98,Individual
200,"Williams, D'Quan",Garden City CC (M),22.64,Individual
400,"Miles, Quinjerus",Garden City CC (M),51.67,Individual
600,"Kasigwa, Don",Garden City CC (M),1:23.42(600),Individual
600y,"Kasigwa, Don",Garden City CC (M),1:14.48,Individual
800,"Kasigwa, Don",Garden City CC (M),1:55.71,Individual
1000,"Kasigwa, Don",Garden City CC (M),2:37.42,Individual
Mile,"Beymer, Lawson",Garden City CC (M),4:18.06,Individual
3000,"Beymer, Lawson",Garden City CC (M),8:43.38,Individual
5000,"Beymer, Lawson",Garden City CC (M),14:56.33,Individual
60H,"Francis, Julian",Garden City CC (M),8.54,Individual
4x400,"Quinjerus Miles, Andrew Dorris, Lawson Beymer, Don Kasigwa",Garden City CC (M),3:28.18,Relay
DMR,"Emmanuel Chirchir, Quinjerus Miles, Don Kasigwa, Lawson Beymer",Garden City CC (M),10:10.73,Relay
HJ,"Rodriguez, Edwin",Garden City CC (M),1.99m,Individual
PV,"McDonald, Jackson",Garden City CC (M),4.09m,Individual
LJ,"Beery, Lane",Garden City CC (M),6.32m,Individual
TJ,"Beery, Lane",Garden City CC (M),12.41m,Individual
SP,"Punt, Rhet",Garden City CC (M),14.95m,Individual
WT,"Punt, Rhet",Garden City CC (M),17.66m,Individual
Hep,"Francis, Julian",Garden City CC (M),4195,Individual
60,"Taylor, Queanna",Garden City CC (F),7.81,Individual
200,"Taylor, Queanna",Garden City CC (F),25.75,Individual
400,"Cooper, Jada",Garden City CC (F),1:03.16,Individual
600,"Cooper, Jada",Garden City CC (F),1:44.17,Individual
600y,"Cooper, Jada",Garden City CC (F),1:36.62,Individual
800,"White Eagle, Maya",Garden City CC (F),2:44.64,Individual
Mile,"Rono, Maurine",Garden City CC (F),6:05.63,Individual
3000,"Kiptarus, Beverlyne",Garden City CC (F),11:37.18,Individual
5000,"Rono, Maurine",Garden City CC (F),20:12.98,Individual
60H,"Williams, Kerrishma",Garden City CC (F),11.44,Individual
4x800,"Jada Cooper, Maya White Eagle, Beverlyne Kiptarus, Maurine Rono",Garden City CC (F),10:21.95,Relay
DMR,"Maurine Rono, Jada Cooper, Maya White Eagle, Beverlyne Kiptarus",Garden City CC (F),13:57.30,Relay
HJ,"Williams, Kerrishma",Garden City CC (F),1.56m,Individual
LJ,"Williams, Kerrishma",Garden City CC (F),5.55m,Individual
SP,"Ferreira, Beatriz",Garden City CC (F),13.93m,Individual
WT,"Ferreira, Beatriz",Garden City CC (F),17.60m,Individual
Pent,"Williams, Kerrishma",Garden City CC (F),2802,Individual
60,"Brister, Dominick",Glendale CC (M),6.65,Individual
200,"Brister, Dominick",Glendale CC (M),20.76,Individual
300,"Brister, Dominick",Glendale CC (M),33.83,Individual
400,"Ojeda, John",Glendale CC (M),50.30,Individual
600,"Ojeda, John",Glendale CC (M),1:25.05,Individual
1000,"Sinawivi , Heri",Glendale CC (M),2:47.00,Individual
Mile,"Sinawivi , Heri",Glendale CC (M),4:58.42,Individual
3000,"Sinawivi , Heri",Glendale CC (M),10:20.83,Individual
PV,"Cruzan, Cooper",Glendale CC (M),4.24m,Individual
LJ,"Mitchell, Trey",Glendale CC (M),5.97m,Individual
TJ,"Mitchell, Trey",Glendale CC (M),13.19m,Individual
SP,"Parker, Josiah",Glendale CC (M),11.80m,Individual
WT,"Parker, Josiah",Glendale CC (M),16.65m,Individual
60,"Amer, Suraia",Glendale CC (F),7.84@,Individual
200,"Amer, Suraia",Glendale CC (F),24.98,Individual
800,"Novara, Nicole",Glendale CC (F),2:27.25,Individual
1000,"Novara, Nicole",Glendale CC (F),3:06.77,Individual
Mile,"Novara, Nicole",Glendale CC (F),5:44.71,Individual
60H,"Barmore, Leila",Glendale CC (F),9.03,Individual
HJ,"Barmore, Leila",Glendale CC (F),1.71m,Individual
PV,"Carey, Alexandra",Glendale CC (F),3.11m,Individual
LJ,"Barmore, Leila",Glendale CC (F),5.66m,Individual
TJ,"Barmore, Leila",Glendale CC (F),12.17m,Individual
SP,"Thiel, Angelina",Glendale CC (F),9.82m,Individual
WT,"Thiel, Angelina",Glendale CC (F),11.61m,Individual
Pent,"Barmore, Leila",Glendale CC (F),3232,Individual
60,"Shaw, Charles",Highland CC (M),7.02,Individual
200,"Miller, Roy",Highland CC (M),21.57,Individual
400,"Miller, Roy",Highland CC (M),47.48,Individual
800,"Gaubert, Emile",Highland CC (M),1:57.22,Individual
1000,"Gaubert, Emile",Highland CC (M),2:32.21,Individual
Mile,"Gaubert, Emile",Highland CC (M),4:37.33,Individual
3000,"Gaubert, Emile",Highland CC (M),9:11.75,Individual
4x400,"Roy Miller, Charles Shaw, Onandi Foster, Michael Reeves",Highland CC (M),3:22.62,Relay
PV,"Quillen, Aaron",Highland CC (M),4.22m,Individual
LJ,"Duparay, Jean",Highland CC (M),6.56m,Individual
TJ,"Shaw, Charles",Highland CC (M),12.55m,Individual
SP,"Beebe, Chase",Highland CC (M),10.18m,Individual
WT,"Cleophat, Marcus",Highland CC (M),11.13m,Individual
60,"Washington, Shanteria",Highland CC (F),7.68,Individual
200,"Washington, Shanteria",Highland CC (F),25.45,Individual
400,"Demming, J'Na",Highland CC (F),59.41,Individual
800,"Reyes, Annabel",Highland CC (F),2:37.70,Individual
1000,"Presas, Samantha",Highland CC (F),3:23.04,Individual
Mile,"Presas, Samantha",Highland CC (F),5:49.74,Individual
3000,"Presas, Samantha",Highland CC (F),11:54.97,Individual
60H,"Thomas, DiaMonae",Highland CC (F),9.13,Individual
4x400,"J'Na Demming, Shanteria Washington, Alyana Wallace, Alexia Lewis",Highland CC (F),4:04.37,Relay
HJ,"Wallace, Alyana",Highland CC (F),1.52m,Individual
LJ,"Lewis, Alexia",Highland CC (F),5.63m,Individual
SP,"O'Farrell, Alexis",Highland CC (F),9.26m,Individual
WT,"O'Farrell, Alexis",Highland CC (F),11.46m,Individual
60,"Oyetunji, Ayomide",Hinds CC (M),6.73,Individual
200,"Oyetunji, Ayomide",Hinds CC (M),21.03,Individual
400,"Demars, Braylin",Hinds CC (M),49.25,Individual
800,"Davis, Tavon",Hinds CC (M),1:57.84,Individual
4x400,"Frank Bradley-Reed, Rinaldo Moore, Braylin Demars, Tavon Davis",Hinds CC (M),3:14.47,Relay
HJ,"Averhart, Jayden",Hinds CC (M),1.97m,Individual
PV,"Nazim, Kareem",Hinds CC (M),4.89m,Individual
60,"Locker, La'Nica",Hinds CC (F),7.46,Individual
200,"Locker, La'Nica",Hinds CC (F),23.59,Individual
400,"Huie, Twyshanna",Hinds CC (F),56.33,Individual
600,"Austin, Adriel",Hinds CC (F),1:40.95#,Individual
800,"Austin, Adriel",Hinds CC (F),2:22.70,Individual
60H,"Husband, Kalli",Hinds CC (F),8.87,Individual
4x400,"T'Kyla Bennett, Caydence Brewer, Twyshanna Huie, Shaneil Johnson",Hinds CC (F),3:47.00,Relay
LJ,"Echols, Brandi",Hinds CC (F),4.57m,Individual
60,"Woodall, Dominic",Paradise Valley (M),7.51,Individual
200,"Burton, Javon",Paradise Valley (M),22.89,Individual
300,"Woodall, Dominic",Paradise Valley (M),38.83,Individual
400,"Burton, Javon",Paradise Valley (M),50.77,Individual
800,"Pestka, Nathan",Paradise Valley (M),1:57.38,Individual
1000,"Pestka, Nathan",Paradise Valley (M),2:30.80,Individual
Mile,"Walker, Kelvin",Paradise Valley (M),4:09.96,Individual
3000,"Pestka, Nathan",Paradise Valley (M),8:32.54,Individual
60H,"Burton, Javon",Paradise Valley (M),8.36,Individual
4x800,"Jason Lundgren, Jackson Bland, Peyton Schneider, Richard Villegas",Paradise Valley (M),8:01.89,Relay
DMR,"Kelvin Walker, Nuhi Ahmeti, Richard Villegas, Nathan Pestka",Paradise Valley (M),10:37.54,Relay
SP,"Garcia III, Eddie",Paradise Valley (M),14.50m,Individual
WT,"Avila, Anthony",Paradise Valley (M),15.43m,Individual
60,"Cardozo, Sofia",Paradise Valley (F),7.54,Individual
200,"Cardozo, Sofia",Paradise Valley (F),25.03,Individual
800,"Estrada, Jazmin",Paradise Valley (F),2:19.63,Individual
1000,"Estrada, Jazmin",Paradise Valley (F),3:03.16,Individual
Mile,"Estrada, Jazmin",Paradise Valley (F),5:00.90,Individual
3000,"Estrada, Jazmin",Paradise Valley (F),10:04.44,Individual
4x400,"Rachael Bethancourt, McKinley Blanton, Mackenzie Bethancourt, Jazmin Estrada",Paradise Valley (F),4:11.03,Relay
DMR,"Keira Damron, McKinley Blanton, Mackenzie Bethancourt, Jazmin Estrada",Paradise Valley (F),12:42.46,Relay
60,"washington, syncere",Phoenix College (M),7.13,Individual
200,"washington, syncere",Phoenix College (M),22.40,Individual
300,"Tavena, Damian",Phoenix College (M),38.12,Individual
400,"fairley, ian",Phoenix College (M),52.66,Individual
600,"Tavena, Damian",Phoenix College (M),1:26.23,Individual
Mile,"Hernandez, Alfonso",Phoenix College (M),4:52.04,Individual
3000,"Hernandez, Alfonso",Phoenix College (M),10:07.64@,Individual
200,"Hernandez, Fernanda",Phoenix College (F),31.37,Individual
600,"Hernandez, Fernanda",Phoenix College (F),1:57.19,Individual
800,"alvarez, nadia",Phoenix College (F),2:50.38@,Individual
1000,"Hernandez, Fernanda",Phoenix College (F),3:21.65,Individual
Mile,"Hernandez, Fernanda",Phoenix College (F),5:53.68,Individual
3000,"Hernandez, Fernanda",Phoenix College (F),12:32.31@,Individual
60H,"alvarez, nadia",Phoenix College (F),11.28@,Individual
60,"Weatherspoon, Raekwon",Pima CC (M),6.92,Individual
200,"Tucker, Nasir",Pima CC (M),21.59,Individual
400,"Tucker, Nasir",Pima CC (M),49.04,Individual
600,"Cortner, Jordan",Pima CC (M),1:22.71,Individual
800,"Valenzuela, Abraham",Pima CC (M),1:53.80,Individual
1000,"Preble, Wyatt",Pima CC (M),2:34.33,Individual
Mile,"Valenzuela, Abraham",Pima CC (M),4:03.76,Individual
